"row_id","athlete_id","year","number_races_run","personal_record","season_record","consistency","days_since_sr","all_american"
"1",2654,2021,4,1490.1,1490.1,18.5781233354359,7,0
"2",3238,2021,5,1456.8,1456.8,29.1425873937096,35,1
"3",3239,2021,5,1461.4,1461.4,27.1062649584925,35,0
"4",3240,2021,4,1496.7,1496.7,14.52624779494,7,0
"5",3250,2021,4,1513.5,1513.5,29.5043534923238,35,0
"6",3260,2021,5,1481.1,1481.1,19.9541474385653,7,0
"7",3370,2021,5,1519,1519,39.3464102555747,21,0
"8",3982,2021,5,1523,1533.9,31.0557949503792,7,0
"9",3985,2021,6,1490.9,1490.9,46.705014720049,35,0
"10",3990,2021,6,1479.1,1479.1,32.5517065604862,35,1
"11",4045,2021,6,1533.8,1533.8,36.4831467941021,35,0
"12",4726,2021,6,1448,1482.7,40.5179170244473,7,0
"13",4729,2021,8,1477,1488.5,53.2080670575431,7,1
"14",4733,2021,4,1477,1488.9,13.5673320885132,7,0
"15",4734,2021,4,1455,1493.2,26.5200278091861,7,1
"16",4759,2021,4,1487,1491.6,35.200883827288,35,0
"17",4774,2021,6,1471,1524,56.7165443235041,7,0
"18",4781,2021,6,1495.7,1495.7,47.1613231366551,35,0
"19",4792,2021,3,1533.6,1533.6,18.0172139910698,7,0
"20",4804,2021,4,1492.2,1492.2,33.4460292860004,50,0
"21",4810,2021,5,1492.1,1492.1,34.3099384289742,35,0
"22",4817,2021,5,1512.8,1512.8,23.4629921365541,35,0
"23",4826,2021,6,1501.5,1501.5,22.7016651371656,35,0
"24",4843,2021,5,1565,1565,60.2969120270682,35,0
"25",5121,2021,5,1454,1474.6,21.561391420778,21,1
"26",5122,2021,5,1451,1482,22.4221854421017,63,0
"27",5124,2021,5,1468,1520.6,24.8280808762981,21,0
"28",5130,2021,5,1464.7,1464.7,29.092170768095,21,1
"29",5141,2021,5,1532.1,1532.1,5.3766160361328,21,0
"30",5208,2021,5,1450,1450,19.7259828652466,63,1
"31",5212,2021,5,1472.7,1472.7,14.4066824772395,35,1
"32",5218,2021,4,1473.7,1473.7,20.9436147787339,35,1
"33",5220,2021,4,1477.3,1477.3,37.6385689818304,49,0
"34",5221,2021,4,1478.1,1478.1,42.0996437039555,35,0
"35",5225,2021,6,1492.9,1492.9,25.9578932546966,7,0
"36",5229,2021,3,1489,1502.7,26.9997530852908,7,0
"37",5230,2021,5,1472,1472,22.9343061809159,35,0
"38",5231,2021,6,1495.6,1495.6,39.6723379699256,7,0
"39",5235,2021,5,1482.3,1482.3,54.7156065487718,35,0
"40",5236,2021,6,1517.3,1517.3,26.0673742444459,7,0
"41",5237,2021,5,1496,1496,22.9435481127048,7,0
"42",5243,2021,4,1495,1502.3,24.4053785055672,7,0
"43",5246,2021,4,1479.1,1479.1,17.9077322684923,35,0
"44",5247,2021,3,1470,1519.9,6.16459424635732,7,0
"45",5259,2021,4,1552,1571.4,45.1414651401569,7,0
"46",5266,2021,6,1469.4,1469.4,42.9654093428656,35,1
"47",5268,2021,4,1484.3,1484.3,15.4106024108945,35,0
"48",5269,2021,4,1493.3,1493.3,27.4357772807697,7,0
"49",5275,2021,6,1522.7,1522.7,52.3643619267914,7,0
"50",5279,2021,5,1482.6,1482.6,22.5119168441961,35,0
"51",5282,2021,4,1487.5,1487.5,25.7450359292816,7,0
"52",5291,2021,5,1503.3,1503.3,38.8862237816942,7,0
"53",5294,2021,6,1511.7,1511.7,61.2434758430098,7,0
"54",5295,2021,4,1533,1544.9,26.9770272639518,7,0
"55",5302,2021,5,1503.5,1503.5,48.1027234156238,7,0
"56",5307,2021,5,1509.5,1509.5,29.880655949962,49,0
"57",5317,2021,5,1501.5,1501.5,43.0740107257265,7,0
"58",5322,2021,5,1496.8,1496.8,32.6504885108937,7,0
"59",5329,2021,4,1544.5,1544.5,29.6977271857629,22,0
"60",5344,2021,7,1549.1,1549.1,32.9481242089575,7,0
